name	notes	ingredient	page
RASPBERRY FLIP	RASPBERRY GARNISH	GARNISH (RASPBERRY)	105

THE HOOKER	BOURBON	WHISKEY (BOURBON)	107
THE HOOKER	AVERNA	AMARO (AVERNA)	107
THE HOOKER	FRESH ORANGE JUICE	JUICE (ORANGE)	107
THE HOOKER	ARBERG SINGLE MALT SCOTCH	WHISKEY (SCOTCH)	107
THE HOOKER	SIMPLE SYRUP	SYRUP (SIMPLE)	107
THE HOOKER	EGG WHITE	EGG (WHITE)	107
THE HOOKER	BOKER'S BITTERS OR ANGOSTURA	BITTERS (AROMATIC)	107
THE HOOKER	CHOCOLATE BITTERS	BITTERS (CHOCOLATE)	107
THE HOOKER	MAUDITE STRONG DARK ALE	BEER (DARK ALE)	107

FLIP OFF THE DEVIL	LAIRD'S STRAIGHT APPLE BRANDY	BRANDY (APPLE)	108
FLIP OFF THE DEVIL	GIFFARD ABRICOT DU ROUSSILLON	LIQUEUR (APRICOT)	108
FLIP OFF THE DEVIL	FRESH LEMON JUICE	JUICE (LEMON)	108
FLIP OFF THE DEVIL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	108
FLIP OFF THE DEVIL	SIMPLE SYRUP	SYRUP (SIMPLE)	108
FLIP OFF THE DEVIL	EGG	EGG (WHOLE)	108
FLIP OFF THE DEVIL	DRIED APRICOT	GARNISH (DRIED APRICOT)	108

CORPSE REVIVER NO. 1	COGNAC	BRANDY (GRAPE)	111
CORPSE REVIVER NO. 1	BONDED APPLE BRANDY	BRANDY (APPLE)	111
CORPSE REVIVER NO. 1	SWEET VERMOUTH	VERMOUTH (SWEET)	111
CORPSE REVIVER NO. 1	ANGOSTURA BITTERS	BITTERS (AROMATIC)	111
CORPSE REVIVER NO. 1	LEMON TWIST	TWIST (LEMON)	111
CORPSE REVIVER NO. 1	ORANGE TWIST	TWIST (ORANGE)	111

CORPSE REVIVER NO. 2	GIN	GIN	111
CORPSE REVIVER NO. 2	COINTREAU	LIQUEUR (ORANGE)	111
CORPSE REVIVER NO. 2	LILLET BLANC	APERITIF (LILLET BLANC)	111
CORPSE REVIVER NO. 2	FRESH LEMON JUICE	JUICE (LEMON)	111
CORPSE REVIVER NO. 2	ABSINTHE	ABSINTHE	111
CORPSE REVIVER NO. 2	LEMON TWIST	TWIST (LEMON)	111

CORAJE	DARK RUM	RUM (DARK)	112
CORAJE	BONAL GENTIANE-QUINA	APERITIF (BONAL)	112
CORAJE	KAHLUA MIDNIGHT	LIQUEUR (KAHLUA)	112
CORAJE	ORANGE BITTERS	BITTERS (ORANGE)	112
CORAJE	ANGOSTURA BITTERS	BITTERS (AROMATIC)	112
CORAJE	ORANGE TWIST	TWIST (ORANGE)	112

NIRVANA COCKTAIL	BONDED RYE	WHISKEY (RYE)	115
NIRVANA COCKTAIL	AMER PICON	APERITIF (AMER PICON)	115
NIRVANA COCKTAIL	MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	115
NIRVANA COCKTAIL	BENEDICTINE	LIQUEUR (BENEDICTINE)	115
NIRVANA COCKTAIL	BOKER'S BITTERS OR ANGOSTURA	BITTERS (AROMATIC)	115
NIRVANA COCKTAIL	ORANGE TWIST	TWIST (ORANGE)	115

REMEMBER THE MAINE	ABSINTHE	ABSINTHE	117
REMEMBER THE MAINE	RYE	WHISKEY (RYE)	117
REMEMBER THE MAINE	SWEET VERMOUTH	VERMOUTH (SWEET)	117
REMEMBER THE MAINE	CHERRY HEERING	LIQUEUR (CHERRY HEERING)	117
REMEMBER THE MAINE	CHERRY	GARNISH (CHERRY)	117

REMEMBER THE ALAMO	ABSINTHE	ABSINTHE	118
REMEMBER THE ALAMO	MILAGRO REPOSADO TEQUILA	AGAVE (TEQUILA REPOSADO)	118
REMEMBER THE ALAMO	PUNT E MES	VERMOUTH (SWEET)	118
REMEMBER THE ALAMO	CHERRY HEERING	LIQUEUR (CHERRY HEERING)	118
REMEMBER THE ALAMO	ANGOSTURA BITTERS	BITTERS (AROMATIC)	118
REMEMBER THE ALAMO	CHERRY	GARNISH (CHERRY)	118

THE STUDEBAKER	BOURBON	WHISKEY (BOURBON)	119
THE STUDEBAKER	LILLET BLANC	APERITIF (LILLET BLANC)	119
THE STUDEBAKER	LINGONBERRY SYRUP	SYRUP (LINGONBERRY)	119
THE STUDEBAKER	PEACH BITTERS	BITTERS (PEACH)	119
THE STUDEBAKER	LEMON TWIST	TWIST (LEMON)	119
THE STUDEBAKER	ORANGE TWIST	TWIST (ORANGE)	119

SEAPEA FIZZ	ABSINTHE	ABSINTHE	123
SEAPEA FIZZ	FRESH LEMON JUICE	JUICE (LEMON)	123
SEAPEA FIZZ	SIMPLE SYRUP	SYRUP (SIMPLE)	123
SEAPEA FIZZ	EGG WHITE	EGG (WHITE)	123
SEAPEA FIZZ	SODA WATER	SODA	123
SEAPEA FIZZ	PEPPERMINT LEAF	GARNISH (PEPPERMINT)	123

SELF-STARTER COCKTAIL	ABSINTHE	ABSINTHE	124
SELF-STARTER COCKTAIL	GIN	GIN	124
SELF-STARTER COCKTAIL	LILLET BLANC	APERITIF (LILLET BLANC)	124
SELF-STARTER COCKTAIL	APRICOT LIQUEUR	LIQUEUR (APRICOT)	124
SELF-STARTER COCKTAIL	LEMON TWIST	TWIST (LEMON)	124

SWAGGER	GIN	GIN	126
SWAGGER	DUBONNET ROUGE	APERITIF (DUBONNET)	126
SWAGGER	ZUCCA RABARBARO	AMARO (ZUCCA)	126
SWAGGER	FRESH GRAPEFRUIT JUICE	JUICE (GRAPEFRUIT)	126
SWAGGER	LIME WEDGE	GARNISH (LIME WEDGE)	126

YAKIMA CARTEL	TEQUILA BLANCO	AGAVE (TEQUILA BLANCO)	129
YAKIMA CARTEL	HOUSE-MADE FALERNUM	LIQUEUR (FALERNUM)	129
YAKIMA CARTEL	GRAPEFRUIT JUICE	JUICE (GRAPEFRUIT)	129
YAKIMA CARTEL	ASCORBIC ACID SOLUTION	ASCORBIC ACID	129
YAKIMA CARTEL	YAKIMA SALT SOLUTION	YAKIMA SALT SOLUTION	129
YAKIMA CARTEL	DRY SPARKLING WINE	WINE (SPARKLING)	129
YAKIMA CARTEL	APPLEWOOD SMOKED SALT	SALT (APPLEWOOD SMOKED)	129
YAKIMA CARTEL	LIME WEDGE	GARNISH (LIME WEDGE)	129

THE PALOMA	TEQUILA BLANCO	AGAVE (TEQUILA BLANCO)	130
THE PALOMA	FRESH LIME JUICE	JUICE (LIME)	130
THE PALOMA	GRAPEFRUIT SODA	SODA (GRAPEFRUIT)	130
THE PALOMA	LIME WEDGE	GARNISH (LIME WEDGE)	130
THE PALOMA	DEHYDRATED GRAPEFRUIT WHEEL	GARNISH (DEHYDRATED GRAPEFRUIT WHEEL)	130

BEAUREGARD'S BREAKFAST	BOURBON	WHISKEY (BOURBON)	133
BEAUREGARD'S BREAKFAST	FRESH LEMON JUICE	JUICE (LEMON)	133
BEAUREGARD'S BREAKFAST	AMARO MONTENEGRO	AMARO (MONTENEGRO)	133
BEAUREGARD'S BREAKFAST	ANGOSTURA BITTERS	BITTERS (AROMATIC)	133
BEAUREGARD'S BREAKFAST	BLUEBERRY PRESERVES	PRESERVES (BLUEBERRY)	133
BEAUREGARD'S BREAKFAST	BLUEBERRIES	GARNISH (BLUEBERRY)	133

JITTERBUG	FRESHLY BREWED ESPRESSO	ESPRESSO	134
JITTERBUG	CARPANO ANTICA	VERMOUTH (SWEET)	134
JITTERBUG	FERNET-BRANCA	FERNET (BRANCA)	134
JITTERBUG	SIMPLE SYRUP	SYRUP (SIMPLE)	134
JITTERBUG	ORANGE BITTERS	BITTERS (ORANGE)	134
JITTERBUG	NUTMEG	GARNISH (NUTMEG)	134

MILK PUNCH	BREAKFAST CREAM	CREAM (BREAKFAST)	137
MILK PUNCH	BOURBON	WHISKEY (BOURBON)	137
MILK PUNCH	COGNAC	BRANDY (GRAPE)	137
MILK PUNCH	HONEY SYRUP	SYRUP (HONEY)	137
MILK PUNCH	NUTMEG	GARNISH (NUTMEG)	137

TOUCAN GIN FIZZ	TOUCAN MIX	MIX (TOUCAN)	138
TOUCAN GIN FIZZ	CHILLED SODA WATER	SODA	138
TOUCAN GIN FIZZ	ORANGE TWIST	TWIST (ORANGE)	138

TOM COLLINS	GIN	GIN	143
TOM COLLINS	FRESH LEMON JUICE	JUICE (LEMON)	143
TOM COLLINS	SIMPLE SYRUP	SYRUP (SIMPLE)	143
TOM COLLINS	SODA WATER	SODA	143
TOM COLLINS	LEMON TWIST	TWIST (LEMON)	143

STARLET SLING	GIN	GIN	144
STARLET SLING	FRESH LEMON JUICE	JUICE (LEMON)	144
STARLET SLING	CHERRY HEERING	LIQUEUR (CHERRY HEERING)	144
STARLET SLING	ORGEAT SYRUP	SYRUP (ORGEAT)	144
STARLET SLING	REGAN'S ORANGE BITTERS NO. 6	BITTERS (ORANGE)	144
STARLET SLING	SODA WATER	SODA	144
STARLET SLING	CHERRY	GARNISH (CHERRY)	144

FRENCH 75	GIN	GIN	145
FRENCH 75	FRESH LEMON JUICE	JUICE (LEMON)	145
FRENCH 75	SIMPLE SYRUP	SYRUP (SIMPLE)	145
FRENCH 75	DRY SPARKLING WINE	WINE (SPARKLING)	145
FRENCH 75	LEMON TWIST	TWIST (LEMON)	145

BOHEMIAN FRENCH 75	GIN	GIN	146
BOHEMIAN FRENCH 75	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	146
BOHEMIAN FRENCH 75	FRESH LEMON JUICE	JUICE (LEMON)	146
BOHEMIAN FRENCH 75	SIMPLE SYRUP	SYRUP (SIMPLE)	146
BOHEMIAN FRENCH 75	DRY SPARKLING WINE	WINE (SPARKLING)	146
BOHEMIAN FRENCH 75	ABSINTHE	ABSINTHE	146
BOHEMIAN FRENCH 75	LEMON TWIST	TWIST (LEMON)	146
BOHEMIAN FRENCH 75	MINT SPRIG	GARNISH (MINT)	146

AFTER ALL IMPERIAL	LAIRD'S STRAIGHT APPLE BRANDY	BRANDY (APPLE)	149
AFTER ALL IMPERIAL	PEACH LIQUEUR	LIQUEUR (PEACH)	149
AFTER ALL IMPERIAL	FRESH LEMON JUICE	JUICE (LEMON)	149
AFTER ALL IMPERIAL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	149
AFTER ALL IMPERIAL	DRY SPARKLING WINE	WINE (SPARKLING)	149
AFTER ALL IMPERIAL	MINT SPRIG	GARNISH (MINT)	149

ROSE WATER RICKEY	GRIOTTINES CHERRY	FRUIT (GRIOTTINES CHERRY)	150
ROSE WATER RICKEY	SUGAR	SUGAR	150
ROSE WATER RICKEY	LEMON HART 151 DEMERARA RUM	RUM (OVERPROOF DEMERARA)	150
ROSE WATER RICKEY	ANGOSTURA BITTERS	BITTERS (AROMATIC)	150
ROSE WATER RICKEY	GIN	GIN	150
ROSE WATER RICKEY	ROSE WATER	OTHER (ROSE WATER)	150
ROSE WATER RICKEY	FRESH LIME JUICE	JUICE (LIME)	150
ROSE WATER RICKEY	SODA WATER	SODA	150

PEYCHAUD'S PALOMA	SODA WATER	SODA	153
PEYCHAUD'S PALOMA	FRESH GRAPEFRUIT JUICE	JUICE (GRAPEFRUIT)	153
PEYCHAUD'S PALOMA	TEQUILA	AGAVE (TEQUILA BLANCO)	153
PEYCHAUD'S PALOMA	SIMPLE SYRUP	SYRUP (SIMPLE)	153
PEYCHAUD'S PALOMA	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	153
PEYCHAUD'S PALOMA	GRAPEFRUIT ZEST	TWIST (GRAPEFRUIT)	153
PEYCHAUD'S PALOMA	LIME WEDGE	GARNISH (LIME WEDGE)	153

CAREFREE CHELSEA	FRESH CELERY JUICE	JUICE (CELERY)	154
CAREFREE CHELSEA	WHITE RUM	RUM (WHITE)	154
CAREFREE CHELSEA	DIMMI LIQUORE DI MILANO	LIQUEUR (DIMMI)	154
CAREFREE CHELSEA	CELERY BITTERS	BITTERS (CELERY)	154
CAREFREE CHELSEA	SIMPLE SYRUP	SYRUP (SIMPLE)	154
CAREFREE CHELSEA	SEA SEALT	SALT (SEA)	154
CAREFREE CHELSEA	SODA WATER	SODA	154
CAREFREE CHELSEA	CUCUMBER SLICE OR WHEEL	GARNISH (CUCUMBER)	154

EL DIABLO	BLANCO TEQUILA	AGAVE (TEQUILA BLANCO)	157
EL DIABLO	CREME DE CASSIS	LIQUEUR (CREME DE CASSIS)	157
EL DIABLO	FRESH LIME JUICE	JUICE (LIME)	157
EL DIABLO	GINGER BEER	SODA (GINGER BEER)	157
EL DIABLO	LIME WEDGE	GARNISH (LIME WEDGE)	157

