name	notes	ingredient	page
TEA TIME	FRESH LEMON JUICE	JUICE (LEMON)	268
TEA TIME	SALINE SOLUTION	SALINE SOLUTION	268

DR. J	RUM	RUM	271
DR. J	LIME STRENGTH ORANGE JUICE	JUICE (ORANGE, LIME STRENGTH)	271
DR. J	SIMPLE SYRUP	SYRUP (SIMPLE)	271
DR. J	SALT	SALT	271
DR. J	VANILLA EXTRACT	EXTRACT (VANILLA)	271

COGNAC AND CABERNET	EGG WHITE	EGG (WHITE)	275
COGNAC AND CABERNET	COGNAC	BRANDY (GRAPE)	275
COGNAC AND CABERNET	CABERNET SAUVIGNON	WINE (CABERNET)	275
COGNAC AND CABERNET	FILTERED WATER	WATER	275
COGNAC AND CABERNET	CLARIFIED LEMON JUICE	JUICE (CLARIFIED LEMON)	275
COGNAC AND CABERNET	SIMPLE SYRUP	SYRUP (SIMPLE)	275
COGNAC AND CABERNET	SALINE SOLUTION	SALINE SOLUTION	275

CARBONATED WHISKEY SOUR	FILTERED WATER	WATER	282
CARBONATED WHISKEY SOUR	CHITOSAN/GELLAN-WASHED BOURBON	WHISKEY (BOURBON, CHITOSAN/GELLAN-WASHED)	282
CARBONATED WHISKEY SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	282
CARBONATED WHISKEY SOUR	SALINE SOLUTION	SALINE SOLUTION	282
CARBONATED WHISKEY SOUR	CLARIFIED LEMON JUICE	JUICE (CLARIFIED LEMON)	282

PB&J WITH A BASEBALL BAT	PEANUT BUTTER AND JELLY INFUSED VODKA	VODKA (PEANUT BUTTER AND JELLY INFUSED)	286
PB&J WITH A BASEBALL BAT	FRESH LIME JUICE	JUICE (LIME)	286
PB&J WITH A BASEBALL BAT	SALINE SOLUTION	SALINE SOLUTION	286

CARBONATED MARGARITA	LIGHT, CLEAN TEQUILA, SUCH AS ESPOLON BLANCO	AGAVE (TEQUILA BLANCO)	324
CARBONATED MARGARITA	FILTERED WATER	WATER	324
CARBONATED MARGARITA	CLARIFIED LIME JUICE	JUICE (CLARIFIED LIME)	324
CARBONATED MARGARITA	SIMPLE SYRUP	SYRUP (SIMPLE)	324
CARBONATED MARGARITA	SALINE SOLUTION	SALINE SOLUTION	324
CARBONATED MARGARITA	ORANGE TWIST	TWIST (ORANGE)	324

CARBONATED NEGRONI	GIN	GIN	325
CARBONATED NEGRONI	CAMPARI	APERITIF (CAMPARI)	325
CARBONATED NEGRONI	SWEET VERMOUTH	VERMOUTH (SWEET)	325
CARBONATED NEGRONI	CLARIFIED LIME JUICE	JUICE (CLARIFIED LIME)	325
CARBONATED NEGRONI	FILTERED WATER	WATER	325
CARBONATED NEGRONI	SALINE SOLUTION	SALINE SOLUTION	325
CARBONATED NEGRONI	GRAPEFRUIT TWIST	TWIST (GRAPEFRUIT)	325

CHAMPARI SPRITZ	CAMPARI	APERITIF (CAMPARI)	326
CHAMPARI SPRITZ	CHAMPAGNE ACID	OTHER (CHAMPAGNE ACID)	326
CHAMPARI SPRITZ	FILTERED WATER	WATER	326
CHAMPARI SPRITZ	SALINE SOLUTION	SALINE SOLUTION	326

GIN AND TONIC	TANQUERAY GIN	GIN (LONDON DRY)	327
GIN AND TONIC	QUININE SYRUP	SYRUP (QUININE)	327
GIN AND TONIC	FILTERED WATER	WATER	327
GIN AND TONIC	SALINE SOLUTION	SALINE SOLUTION	327
GIN AND TONIC	CLARIFIED LIME JUICE	JUICE (CLARIFIED LIME)	327

CHARTRUTH	GREEN CHARTREUSE	CHARTRESUE (GREEN)	328
CHARTRUTH	FILTERED WATER	WATER	328
CHARTRUTH	SALINE SOLUTION	SALINE SOLUTION	328
CHARTRUTH	CLARIFIED LIME JUICE	JUICE (CLARIFIED LIME)	328

GIN AND JUICE: AGAR-CLARIFIED	TANQUERAY GIN	GIN (LONDON DRY)	331
GIN AND JUICE: AGAR-CLARIFIED	AGAR-CLARIFIED GRAPEFRUIT JUICE	JUICE (AGAR-CLARIFIED GRAPEFRUIT)	331
GIN AND JUICE: AGAR-CLARIFIED	FILTERED WATER	WATER	331
GIN AND JUICE: AGAR-CLARIFIED	SALINE SOLUTION	SALINE SOLUTION	331

GIN AND JUICE: CENTRIFUGALLY CLARIFIED	TANQUERAY GIN	GIN (LONDON DRY GIN)	331
GIN AND JUICE: CENTRIFUGALLY CLARIFIED	CENTRIFUGE-CLARIFIED GRAPEFRUIT JUICE	JUICE (CENTRIFUGE-CLARIFIED GRAPEFRUIT)	331
GIN AND JUICE: CENTRIFUGALLY CLARIFIED	FILTERED WATER	WATER	331
GIN AND JUICE: CENTRIFUGALLY CLARIFIED	SIMPLE SYRUP	SYRUP (SIMPLE)	331
GIN AND JUICE: CENTRIFUGALLY CLARIFIED	CHAMPAGNE ACID	OTHER (CHAMPAGNE ACID)	331
GIN AND JUICE: CENTRIFUGALLY CLARIFIED	SALINE SOLUTION	SALINE SOLUTION	331

HONEYCRISP RUM SHAKE	WHITE RUM	RUM (WHITE)	340
HONEYCRISP RUM SHAKE	FRESH LIME JUICE	JUICE (LIME)	340
HONEYCRISP RUM SHAKE	UNCLARIFIED HONEYCRISP APPLE JUICE	JUICE (UNCLARIFIED HONEYCRISP APPLE)	340

