name	notes	ingredient	page
QUIET STORM	SIMPLE SYRUP	SYRUP (SIMPLE)	118
QUIET STORM	SPICY GINGER BEER, PREFERABLY FEVER-TREE	SODA (GINGER BEER)	118
QUIET STORM	LEMON WHEEL	GARNISH (LEMON WHEEL)	118
QUIET STORM	MINT	GARNISH (MINT)	118

DARK AND STORMY	JOHN D TAYLOR'S VELVET FALERNUM	LIQUEUR (FALERNUM)	120
DARK AND STORMY	FRESH LIME JUICE	JUICE (LIME)	120
DARK AND STORMY	LIME WHEEL	GARNISH (LIME WHEEL)	120
DARK AND STORMY	SPICY GINGER BEER, PREFERABLY FEVER-TREE	SODA (GINGER BEER)	120
DARK AND STORMY	GOSLING'S BLACK SEAL RUM	RUM (DARK)	120

MOSCOW MULE	SMIRNOFF VODKA	VODKA	121
MOSCOW MULE	FRESH LIME JUICE	JUICE (LIME)	121
MOSCOW MULE	SPICY GINGER BEER, PREFERABLY FEVER-TREE	SODA (GINGER BEER)	121
MOSCOW MULE	LIME WHEEL	GARNISH (LIME WHEEL)	121

RUBY TUESDAY	WILD TURKEY 101 PROOF RYE	WHISKEY (RYE OVERPROOF)	122
RUBY TUESDAY	BENEDICTINE	LIQUEUR (BENEDICTINE)	122
RUBY TUESDAY	FRESH LEMON JUICE	JUICE (LEMON)	122
RUBY TUESDAY	SIMPLE SYRUP	SYRUP (SIMPLE)	122
RUBY TUESDAY	BOIRON BLACK CHERRY PUREE	PUREE (BLACK CHERRY)	122
RUBY TUESDAY	LEMON TWIST	TWIST (LEMON)	122

FRISCO SOUR	SAZERAC RYE	WHISKEY (RYE)	123
